200c 300a 300a 300a 300a 300a 300a 300a 300a 300a 100c
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
200a 1009 1009 1009 1009 1009 1009 1009 1009 1009 000a
100c 100a 100a 100a 100a 100a 100a 100a 100a 100a 000c
